model_id,canonical_family_id,derived_id,variant_id,generation_id,prompt_hash,prompt_text_or_path,parsed_answer,canonical_answer,correct,correct_answer_logprob,entropy,monitor_score,source_experiment_ids
llama3p1_8b_instruct,CM_A_007,,2,llama3p1_8b_instruct:CM_A_007:2:llama_primary_20260616T085448Z,d887cf4e1a34a3742352bff1e7e9f041817d58d066ae65a9e390c9ecf6ba3ac1,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,1.5 N,3.0 N,,-20.28125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_007,,3,llama3p1_8b_instruct:CM_A_007:3:llama_primary_20260616T085448Z,d2cffe5a19ac65faf6e283a5c49434aae404b2b0761f117f21f95db95ba2ae5d,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,1.5 N,3.0 N,,-19.84375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_008,,0,llama3p1_8b_instruct:CM_A_008:0:llama_primary_20260616T085448Z,32e10723dc5cc460851cf0e9436cd3974d60e89cf9e647880a9cf7f6debb4010,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,1.2 m/s,2.4 m/s,,-18.640625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_008,,1,llama3p1_8b_instruct:CM_A_008:1:llama_primary_20260616T085448Z,63779d6fa7f20c5489be444ca57d20b69cd125d1076e97f480955ab24c18b630,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,0.769 m/s,2.4 m/s,,-18.4375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_008,,2,llama3p1_8b_instruct:CM_A_008:2:llama_primary_20260616T085448Z,a528c8b680f40e767eaccb50031f7b24c598c66664c8d807d8f33d85a86f6519,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,1.2 m/s,2.4 m/s,,-18.859375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_008,,3,llama3p1_8b_instruct:CM_A_008:3:llama_primary_20260616T085448Z,e0dff28204da8cafad42a43b78cc458df76669d6c6e4ff01f1e325c95b743c87,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,1.2 m/s,2.4 m/s,,-17.90625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_009,,0,llama3p1_8b_instruct:CM_A_009:0:llama_primary_20260616T085448Z,0a96e929a8521c456ea40815522fa4e06cd16c82746ca02666a7ba53a8acf25a,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10 Nm,10.0 N*m,,-24.015625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_009,,1,llama3p1_8b_instruct:CM_A_009:1:llama_primary_20260616T085448Z,cc975621bbad6f685c003ab01d6323aed392fbeb3b66827b1f21b3989b6a829a,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10 Nm,10.0 N*m,,-24.546875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_009,,2,llama3p1_8b_instruct:CM_A_009:2:llama_primary_20260616T085448Z,3e6c547de703d630901a602d558491fc1aed8601f991486c825fa5b5c2ea5f29,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10 Nm,10.0 N*m,,-24.59375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_009,,3,llama3p1_8b_instruct:CM_A_009:3:llama_primary_20260616T085448Z,654b9b1fc93c766ed6352bda48780e3a09b7ba7045911b94c14809152fe3a7b2,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,10 Nm,10.0 N*m,,-24.34375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_010,,0,llama3p1_8b_instruct:CM_A_010:0:llama_primary_20260616T085448Z,a0b98903ff5e3175d0d906dd6027d84d87298ac0fc567d64caddd8c1ebc694b5,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,60 J,60.0 J,,-25.46875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_010,,1,llama3p1_8b_instruct:CM_A_010:1:llama_primary_20260616T085448Z,8eaf2197f94d774ef42b6366a2996a94a84ef9a5cb957d75be29bc86a41098fa,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,60 J,60.0 J,,-25.609375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_010,,2,llama3p1_8b_instruct:CM_A_010:2:llama_primary_20260616T085448Z,b74a6cda0e3e04a82b3fb49da6c49581d0645823385298e01effe7f23d6cc05c,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,60 J,60.0 J,,-25.40625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_010,,3,llama3p1_8b_instruct:CM_A_010:3:llama_primary_20260616T085448Z,be61fc861a409fbabd8f827a22a467b556873e5bc490812b99b75cad7eeb07df,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,60 J,60.0 J,,-25.421875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_001,,0,llama3p1_8b_instruct:CM_A_STD_001:0:llama_primary_20260616T085448Z,65ef63fa184ee26717a303917d2b70047070dd10a37ce10f79e7d21f8a70adaf,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 m/s,12.0 m/s,,-27.328125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_001,,1,llama3p1_8b_instruct:CM_A_STD_001:1:llama_primary_20260616T085448Z,1b1fe8df297537129df32b5a00fd57b21d7c7ed10175beafcd6b924cf1aed9a3,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 m/s,12.0 m/s,,-27.359375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_001,,2,llama3p1_8b_instruct:CM_A_STD_001:2:llama_primary_20260616T085448Z,539a57b7b13416e29504bc5c3162e889e1b114b4804649db01eceadf268d53b4,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 m/s,12.0 m/s,,-27.078125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_001,,3,llama3p1_8b_instruct:CM_A_STD_001:3:llama_primary_20260616T085448Z,c80a392cc67bdb281f2a3484f6d2012fa792f61222bb7a91d959f6369c08a393,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 m/s,12.0 m/s,,-26.59375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_002,,0,llama3p1_8b_instruct:CM_A_STD_002:0:llama_primary_20260616T085448Z,037df50a9156505aa56889cd8cf2a81e2082db5c525396ca1b4a28e3790d49ca,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,9.0 m,18.0 m,,-25.40625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_002,,1,llama3p1_8b_instruct:CM_A_STD_002:1:llama_primary_20260616T085448Z,aecc3c09e68d72e7372cceb056e0817ad90f2ea7194eaf396a65e403ffe16ce7,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,9.0 m,18.0 m,,-25.546875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_002,,2,llama3p1_8b_instruct:CM_A_STD_002:2:llama_primary_20260616T085448Z,f7d6d641f559601f691c95f5316d62d46e995e3e152eae90fe08c2c1f3435f62,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,9.0 m,18.0 m,,-25.625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_002,,3,llama3p1_8b_instruct:CM_A_STD_002:3:llama_primary_20260616T085448Z,c657a68af6cfd4a3b02335f3786f601ff7edc2fc24f297ea950fbde483985b5d,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,9.0 m,18.0 m,,-25.359375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_003,,0,llama3p1_8b_instruct:CM_A_STD_003:0:llama_primary_20260616T085448Z,84421190c1b41a9497048caaaf7b5c7534cd5323664a83db1928d0038c95c1ff,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,36 J,36.0 J,,-28.125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_003,,1,llama3p1_8b_instruct:CM_A_STD_003:1:llama_primary_20260616T085448Z,16cda092fb36c6da1bb593dfff84f6f6606901ee5ed83dcb40548a878d78d042,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,36 J,36.0 J,,-28.109375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_003,,2,llama3p1_8b_instruct:CM_A_STD_003:2:llama_primary_20260616T085448Z,f8e1fcd2ec6d9999cc345c3fe3b4abc86102cfdbca12a3184a963a896c5ae043,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,36 J,36.0 J,,-28.171875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_003,,3,llama3p1_8b_instruct:CM_A_STD_003:3:llama_primary_20260616T085448Z,87767a37e77609e413e5dee27f7015a4a271bb8215690f03b1d1670cc97dc94d,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,36 J,36.0 J,,-28.015625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_004,,0,llama3p1_8b_instruct:CM_A_STD_004:0:llama_primary_20260616T085448Z,74a93a24dd2d3607012b24a15b61ac366eb2b972eab00d7a329b928bb83be7c2,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,14 N,14.0 N,,-18.5,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_004,,1,llama3p1_8b_instruct:CM_A_STD_004:1:llama_primary_20260616T085448Z,875242a00162099387d5cf03eefe67c21ab6296b46858df89e2b826af234aa84,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,14 N,14.0 N,,-18.828125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_004,,2,llama3p1_8b_instruct:CM_A_STD_004:2:llama_primary_20260616T085448Z,bce4d450a5b1b923ca88fad668d9c8fbc9189cda10ca6c56a60d4eac48d3259c,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,14 N,14.0 N,,-19.828125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_004,,3,llama3p1_8b_instruct:CM_A_STD_004:3:llama_primary_20260616T085448Z,f3698756bfccccb1ebf528ffa2ab0affe69ccedc21b9188749ed0797ddea3802,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,14 N,14.0 N,,-18.609375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_005,,0,llama3p1_8b_instruct:CM_A_STD_005:0:llama_primary_20260616T085448Z,5504905a5238110224d646aa425af37c8f7e5c69b6b9752203b441d96e74a36a,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,6.0 N,18.0 N,,-22.96875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_005,,1,llama3p1_8b_instruct:CM_A_STD_005:1:llama_primary_20260616T085448Z,63fee8e5eec4c48f7fc42869b5cf48dba90599fa81b598c0786f79aad3d7956d,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,6.0 N,18.0 N,,-22.28125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_005,,2,llama3p1_8b_instruct:CM_A_STD_005:2:llama_primary_20260616T085448Z,5d158df10a83899b469b68e345db635bb8fc899b37a7a5151c6a513b1acdb2cb,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,6.0 N,18.0 N,,-23.25,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_005,,3,llama3p1_8b_instruct:CM_A_STD_005:3:llama_primary_20260616T085448Z,99c91382a16ef108c11dd0dbd65893eba5aa4a41dedc447905229d9ca21ad38e,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,6.0 N,18.0 N,,-22.8125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_006,,0,llama3p1_8b_instruct:CM_A_STD_006:0:llama_primary_20260616T085448Z,8e70d00994e783a790e3532e42f5d75644a107373eb1f214af33e250a00cea9f,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 kgm/s,12.0 kg*m/s,,-25.71875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_006,,1,llama3p1_8b_instruct:CM_A_STD_006:1:llama_primary_20260616T085448Z,19278fdcadbc06c2377d1de6285aac24312bb9a535eb4247d2b3bf2b47a25df3,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 kg*m/s,12.0 kg*m/s,,-23.921875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_006,,2,llama3p1_8b_instruct:CM_A_STD_006:2:llama_primary_20260616T085448Z,281652e58447b29af74fc6865c103341377aef16fcc51e4d2feb16eda2677211,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 kgm/s,12.0 kg*m/s,,-26.109375,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_006,,3,llama3p1_8b_instruct:CM_A_STD_006:3:llama_primary_20260616T085448Z,d1a7fd01fa39d66cdbbb55ac96ab4b1b142e9ffe9836719ebe74bd5934db3408,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 kg*m/s,12.0 kg*m/s,,-26.25,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_007,,0,llama3p1_8b_instruct:CM_A_STD_007:0:llama_primary_20260616T085448Z,3497b08a64409b3b79ccbb962a951f3fb640f8039d9363028defc7c8473879ce,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,20 J,98.0 J,,-28.390625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_007,,1,llama3p1_8b_instruct:CM_A_STD_007:1:llama_primary_20260616T085448Z,f6631c18ad7be9edb7dd65ac93f77e54cbdacc17fa0f278573f792c2d4de6efe,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,20 J,98.0 J,,-28.578125,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_007,,2,llama3p1_8b_instruct:CM_A_STD_007:2:llama_primary_20260616T085448Z,0b1025ba82022263fc1a42d52e8c0c534dc8faab8d87d9725db641edab609ff8,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,98 J,98.0 J,,-28.546875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_007,,3,llama3p1_8b_instruct:CM_A_STD_007:3:llama_primary_20260616T085448Z,769a954c61a57d15645302675f84d416683ce5f31db65cb6bf8fb263b2cc00de,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,98 J,98.0 J,,-28.5,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_008,,0,llama3p1_8b_instruct:CM_A_STD_008:0:llama_primary_20260616T085448Z,52269d08fbea4c2aa3aaf80d2f465dd8a2a7b58384d28014445e59ed05dfa2fc,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,42 J,42.0 J,,-25.0625,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_008,,1,llama3p1_8b_instruct:CM_A_STD_008:1:llama_primary_20260616T085448Z,f6723505004dd75bb82dda1c16294e77b702e428462bd1e05cdbddd60e61d717,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,42 J,42.0 J,,-22.921875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_008,,2,llama3p1_8b_instruct:CM_A_STD_008:2:llama_primary_20260616T085448Z,e4dd2ff2ea1be60decad972aef36d3fa530afaac6660523ab4a2c9795a30a52e,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,42 J,42.0 J,,-25.171875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_008,,3,llama3p1_8b_instruct:CM_A_STD_008:3:llama_primary_20260616T085448Z,0c5dcda39f56bfc12924dfb605c49a4d00b4dbfd3c97cca90b62353b03093e87,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,42 J,42.0 J,,-25.171875,,,"[""stage6_llama_behavioural_full_rerun""]"
llama3p1_8b_instruct,CM_A_STD_009,,0,llama3p1_8b_instruct:CM_A_STD_009:0:llama_primary_20260616T085448Z,1251202471e154a94365e72274638888d1c49073e1f186dc0a7e0cd5e18b14f1,results/stage6/behavioural_full_rerun/llama_primary_20260616T085448Z.jsonl,12 Nm,12.0 N*m,,-22.796875,,,"[""stage6_llama_behavioural_full_rerun""]"
