activation_site,array_task_id,claim_level,claim_supported,command,completed_at,config_file,config_hash,correction_history,dataset_hash,dataset_version,discovery_or_confirmation,donor_policy,dtype,experiment_class,experiment_id,family_manifest,family_manifest_hash,git_commit,git_dirty,hardware,hypothesis,job_id,model_id,model_path,model_revision,model_role,notes,null_interpretation,paper_eligibility,parent_experiment_id,patch_head,patch_layer,provenance_status,quantization,random_seeds,raw_data_rows,raw_output_paths,run_attempt_id,runtime_hours,scientific_null,scientific_question,sensitivity_metric,sensitivity_threshold,split_hash,split_version,stage,status,stderr_path,stdout_path,submitted_at,summary_defaulted_zero,summary_paths,supersedes_experiment_id,target_policy,task_id,token_position,tokenizer_hash,tokenizer_path
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage6_qwen_variance_no_cue_c,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage6_qwen_variance_no_cue_c,,,no_cue_c_probe,S_lp,0.5,unresolved,unfrozen_discovery,Stage6,partial_not_reportable,,,,,[],,,no_cue_c_probe,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage12_expansion_probe_inference,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage12/expansion_probe_inference/per_variant_predictions.json""]",stage12_expansion_probe_inference,,,expansion_probe_inference,S_lp,0.5,unresolved,unfrozen_discovery,Stage12,complete_exploratory,,,,,"[""results/stage12/expansion_probe_inference/summary.json""]",,,expansion_probe_inference,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage12_expanded_per_variant_retrain,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage12/expanded_probe_training/per_variant_sweep/loo_predictions_per_variant.json""]",stage12_expanded_per_variant_retrain,,,expanded_probe_retrain,S_lp,0.5,unresolved,unfrozen_discovery,Stage12,complete_exploratory,,,,,"[""results/stage12/expanded_probe_training/per_variant_sweep/summary_per_variant_sweep.json""]",,,expanded_probe_retrain,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,Original variable-renaming probe labels were reported as wrong/all-positive in audit trail.,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage11_variable_renaming_probe_original,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,Original variable-renaming probe labels were reported as wrong/all-positive in audit trail.,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage11_variable_renaming_probe_original,,,variable_renaming_probe_original,S_lp,0.5,unresolved,unfrozen_discovery,Stage11,superseded,,,,,[],,,variable_renaming_probe_original,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage11_variable_renaming_probe_corrected,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,v4: authoritative status downgraded because provenance is not complete.,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage11/science/variable_renaming/probe_inference/per_variant_predictions.json""]",stage11_variable_renaming_probe_corrected,,,variable_renaming_probe_corrected,S_lp,0.5,unresolved,unfrozen_discovery,Stage11,complete_exploratory,,,,,"[""results/stage11/science/variable_renaming/probe_inference/summary.json""]",stage11_variable_renaming_probe_original,,variable_renaming_probe_corrected,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage11_cue_c_probe_sweep,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage11/science/cue_c_circuit/cuec_probe_sweep/run_per_variant_probe_sweep_events.jsonl""]",stage11_cue_c_probe_sweep,,,cue_c_probe_sweep,S_lp,0.5,unresolved,unfrozen_discovery,Stage11,complete_exploratory,,,,,"[""results/stage11/science/cue_c_circuit/cuec_probe_sweep/summary_per_variant_sweep.json""]",,,cue_c_probe_sweep,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage11_cue_c_heldout_inference,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage11/science/cue_c_circuit/heldout_inference/per_variant_predictions.json""]",stage11_cue_c_heldout_inference,,,cue_c_heldout_inference,S_lp,0.5,unresolved,unfrozen_discovery,Stage11,complete_exploratory,,,,,"[""results/stage11/science/cue_c_circuit/heldout_inference/summary.json""]",,,cue_c_heldout_inference,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage12_multi_site_probe,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,[],stage12_multi_site_probe,,,multi_site_probe,S_lp,0.5,unresolved,unfrozen_discovery,Stage12,complete_exploratory,,,,,"[""results/stage12/science/multi_site_probe/multi_site_probe_summary.json""]",,,multi_site_probe,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage12_h14_output_probe,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage12_h14_output_probe,,,h14_output_probe,S_lp,0.5,unresolved,unfrozen_discovery,Stage12,partial_not_reportable,,,,,[],,,h14_output_probe,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,monitoring,stage12_h15_output_probe,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage12_h15_output_probe,,,h15_output_probe,S_lp,0.5,unresolved,unfrozen_discovery,Stage12,partial_not_reportable,,,,,[],,,h15_output_probe,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,baseline,stage9_correctness_probe,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage9/baselines/correctness_probe/loo_predictions_variance.json""]",stage9_correctness_probe,,,generic_correctness_probe,S_lp,0.5,unresolved,unfrozen_discovery,Stage9,complete_exploratory,,,,,"[""results/stage9/baselines/correctness_probe/summary_variance.json""]",,,generic_correctness_probe,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,baseline,stage9_correctness_residualisation,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage9/correctness_residualisation/loo_predictions.json""]",stage9_correctness_residualisation,,,correctness_residualisation,S_lp,0.5,unresolved,unfrozen_discovery,Stage9,complete_exploratory,,,,,"[""results/stage9/correctness_residualisation/residualisation_summary.json""]",,,correctness_residualisation,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,baseline,stage9_blackbox_counterfactual,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,[],stage9_blackbox_counterfactual,,,blackbox_counterfactual,S_lp,0.5,unresolved,unfrozen_discovery,Stage9,complete_exploratory,,,,,"[""results/stage9/baselines/blackbox_counterfactual/blackbox_counterfactual_summary.json""]",,,blackbox_counterfactual,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,baseline,stage9_cot_text_baseline,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage9_cot_text_baseline,,,cot_text_classifier,S_lp,0.5,unresolved,unfrozen_discovery,Stage9,partial_not_reportable,,,,,[],,,cot_text_classifier,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,baseline,stage9_answer_rationale_baseline,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,,,unresolved,,,,false,,,,unresolved,,42_if_recorded_else_unresolved,,[],stage9_answer_rationale_baseline,,,answer_rationale_classifier,S_lp,0.5,unresolved,unfrozen_discovery,Stage9,partial_not_reportable,,,,,[],,,answer_rationale_classifier,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,causal,stage10_qwen_full_l16_single_head_sweep,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,16,partial,,42_if_recorded_else_unresolved,,"[""results/stage10/full_head_sweep_l16/head_11/patching_results.csv""]",stage10_qwen_full_l16_single_head_sweep,,,qwen_l16_full_head_sweep,S_lp,0.5,unresolved,unfrozen_discovery,Stage10,complete_exploratory,,,,,"[""results/stage10/full_head_sweep_l16/head_sweep_summary.json""]",,,qwen_l16_full_head_sweep,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,causal,stage11_qwen_h11_layer_sweep,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,11,,partial,,42_if_recorded_else_unresolved,,"[""results/stage11/science/h11_layer_sweep/patching_results.csv""]",stage11_qwen_h11_layer_sweep,,,qwen_h11_layer_sweep,S_lp,0.5,unresolved,unfrozen_discovery,Stage11,complete_exploratory,,,,,"[""results/stage11/science/h11_layer_sweep/patching_summary.json""]",,,qwen_h11_layer_sweep,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,causal,stage11_qwen_h24_layer_sweep,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,24,,unresolved,,42_if_recorded_else_unresolved,,[],stage11_qwen_h24_layer_sweep,,,qwen_h24_layer_sweep,S_lp,0.5,unresolved,unfrozen_discovery,Stage11,partial_not_reportable,,,,,[],,,qwen_h24_layer_sweep,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,causal,stage10_qwen_pairwise_head_interactions,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,16,partial,,42_if_recorded_else_unresolved,,"[""results/stage10/pairwise_head_interactions/subset_13_11/patching_results.csv""]",stage10_qwen_pairwise_head_interactions,,,qwen_pairwise_multihead_interactions,S_lp,0.5,unresolved,unfrozen_discovery,Stage10,complete_exploratory,,,,,"[""results/stage10/pairwise_head_interactions/interaction_summary.json""]",,,qwen_pairwise_multihead_interactions,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,mechanism,stage12_h15_gating_test,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,[],stage12_h15_gating_test,,,h15_under_h11_knockout,S_lp,0.5,unresolved,unfrozen_discovery,Stage12,complete_exploratory,,,,,"[""results/stage12/science/h11_h15_gating/gating_test_summary.json""]",,,h15_under_h11_knockout,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,Diagnostic mechanism analysis; does not by itself establish a causal subspace.,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,mechanism,stage10_direct_logit_attribution,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,primary_dense,Diagnostic mechanism analysis; does not by itself establish a causal subspace.,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage10/direct_logit_attribution/direct_logit_attribution_per_head.json""]",stage10_direct_logit_attribution,,,Which heads directly contribute to the correct-answer logit shift?,S_lp,0.5,unresolved,unfrozen_discovery,Stage10,complete_exploratory,,,,,"[""results/stage10/direct_logit_attribution/direct_logit_attribution_summary.json""]",,,direct_logit_attribution,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,causal_control,stage9_random_direction_control,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage9/random_direction_control/rdc_results.csv""]",stage9_random_direction_control,,,random_direction_control,S_lp,0.5,unresolved,unfrozen_discovery,Stage9,complete_exploratory,,,,,"[""results/stage9/random_direction_control/rdc_summary.json""]",,,random_direction_control,,unresolved,
,,exploratory_or_diagnostic,not_paper_eligible,unresolved,,,,,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,physmon_canonical_155_v1,discovery,,,causal_control,stage10_random_site_control,data/manifests/physmon_canonical_155.jsonl,3f89c93941f5a47d6c013a1e1e020ea082127f6df858e58034b9f54a9ca95bb2,unresolved,unresolved,unresolved,,,qwen2p5_7b_instruct,,unresolved,,,,false,,,,partial,,42_if_recorded_else_unresolved,,"[""results/stage10/random_site_control/patching_results.csv""]",stage10_random_site_control,,,random_site_control,S_lp,0.5,unresolved,unfrozen_discovery,Stage10,complete_exploratory,,,,,"[""results/stage10/random_site_control/patching_summary.json""]",,,random_site_control,,unresolved,
