template_id,domain,cue_type,deepseek_num_valid_parses,deepseek_parse_rate_family,deepseek_correct_rate_family,deepseek_hat_S,deepseek_S_lp,deepseek_correct_answer
CM_B_UM_018,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,-0.03125,3 A
CM_B_UM_019,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,-0.171875,2 A
CM_B_UM_020,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,0.296875,6 A
CM_B_UM_021,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,0.015625,12 V
CM_B_UM_022,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,0.515625,6 V
CM_B_UM_023,electrostatics_circuits,nongoverning_distractor,0,0.0,0.0,,-0.234375,8 V
CM_B_UM_024,electrostatics_circuits,nongoverning_distractor,2,0.5,0.5,1.0,-0.0625,6 V
CM_B_UM_025,electrostatics_circuits,nongoverning_distractor,4,1.0,1.0,0.0,0.53125,6 V
CM_B_UM_026,electrostatics_circuits,nongoverning_distractor,2,0.5,1.0,0.0,0.28125,5 V
CM_B_UM_027,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,1.15625,6 N*m
CM_B_UM_028,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.359375,15 N*m
CM_B_UM_029,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.015625,10 N*m
CM_B_UM_030,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.21875,12 N*m
CM_B_UM_031,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.265625,10 N*m
CM_B_UM_032,mechanics,nongoverning_distractor,3,0.75,0.0,0.0,0.03125,1.592 Hz
CM_B_UM_033,mechanics,nongoverning_distractor,1,0.25,0.0,,0.796875,0.498 Hz
CM_B_UM_034,mechanics,nongoverning_distractor,2,0.5,0.0,0.0,0.90625,1.592 Hz
CM_B_UM_035,mechanics,nongoverning_distractor,1,0.25,0.0,,-0.09375,0.997 Hz
CM_B_UM_036,mechanics,nongoverning_distractor,0,0.0,0.0,,-0.390625,20 Hz
CM_B_UM_037,electrostatics_circuits,nongoverning_distractor,1,0.25,1.0,,0.71875,0.0003 C
CM_B_UM_038,electrostatics_circuits,nongoverning_distractor,3,0.75,0.6666666666666666,0.6666666666666666,0.171875,0.0009 C
CM_B_UM_039,electrostatics_circuits,nongoverning_distractor,2,0.5,1.0,0.0,0.4375,0.0006 C
CM_B_UM_040,electrostatics_circuits,nongoverning_distractor,4,1.0,0.75,0.5,-0.109375,5e-5 C
CM_B_UM_041,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.921875,10 m/s
CM_B_UM_042,mechanics,nongoverning_distractor,3,0.75,1.0,0.0,0.078125,15 m/s
CM_B_UM_043,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.0,4 m/s
CM_B_UM_044,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.015625,10 m/s
CM_B_UM_045,mechanics,nongoverning_distractor,0,0.0,0.0,,0.03125,6 m/s
CM_B_UM_046,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,1.21875,6 m/s
CM_B_UM_047,mechanics,nongoverning_distractor,3,0.75,0.0,0.0,1.46875,9.899 m/s
CM_B_UM_048,mechanics,nongoverning_distractor,2,0.5,0.5,1.0,1.546875,4.4 m/s
CM_B_UM_049,mechanics,nongoverning_distractor,0,0.0,0.0,,-0.09375,1.592 Hz
CM_B_UM_050,mechanics,nongoverning_distractor,1,0.25,0.0,,2.109375,0.796 Hz
CM_B_UM_051,mechanics,nongoverning_distractor,2,0.5,1.0,0.0,2.5625,0.705 Hz
CM_B_UM_052,mechanics,nongoverning_distractor,1,0.25,0.0,,1.984375,0.352 Hz
CM_B_UM_053,mechanics,nongoverning_distractor,0,0.0,0.0,,-0.03125,1.592 Hz
CM_B_UM_054,electrostatics_circuits,nongoverning_distractor,2,0.5,0.0,0.0,1.21875,159.2 Hz
CM_B_UM_055,mechanics,nongoverning_distractor,4,1.0,0.25,0.8333333333333334,3.09375,0.249 Hz
CM_B_UM_056,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,1.578125,80 Hz
CM_B_UM_057,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.296875,12 N*m
CM_B_UM_058,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,-0.03125,15 N*m
CM_B_UM_059,mechanics,nongoverning_distractor,1,0.25,1.0,,7.03125,6.928 N*m
CM_B_UM_060,mechanics,nongoverning_distractor,4,1.0,1.0,0.0,0.296875,8 N*m
CM_C_001,mechanics,frame_rendering,4,1.0,1.0,0.0,1.78125,30 m/s
CM_C_002,mechanics,frame_rendering,4,1.0,1.0,0.0,2.71875,50 N
CM_C_003,mechanics,frame_rendering,4,1.0,1.0,0.0,10.8515625,1000 J
CM_C_004,electrostatics_circuits,frame_rendering,4,1.0,1.0,0.0,8.765625,200 W
CM_C_005,mechanics,frame_rendering,4,1.0,1.0,0.0,8.5078125,50 Hz
EL_A_001,electrostatics_circuits,irrelevant_variable,4,1.0,1.0,0.0,0.09375,40 V
EL_A_002,electrostatics_circuits,irrelevant_variable,4,1.0,1.0,0.0,0.140625,20 W
EL_A_003,electrostatics_circuits,irrelevant_variable,4,1.0,1.0,0.0,-0.03125,0.0012 C
EL_A_004,electrostatics_circuits,irrelevant_variable,3,0.75,0.0,0.6666666666666666,-0.015625,5.394 N
EL_A_005,electrostatics_circuits,irrelevant_variable,0,0.0,0.0,,0.125,1.124e6 N/C
EL_B_001,electrostatics_circuits,nongoverning_distractor,2,0.5,1.0,0.0,0.3125,30 V
EL_B_002,electrostatics_circuits,nongoverning_distractor,0,0.0,0.0,,-0.1875,24 W
EL_B_003,electrostatics_circuits,nongoverning_distractor,4,1.0,0.75,0.5,0.3125,0.00045 C
EL_B_004,electrostatics_circuits,nongoverning_distractor,0,0.0,0.0,,-0.046875,0.8991 N
EL_B_005,electrostatics_circuits,nongoverning_distractor,0,0.0,0.0,,0.03125,3e5 N/C
TH_B_UM_001,thermodynamics,nongoverning_distractor,1,0.25,0.0,,-0.234375,4.186e4 J
TH_B_UM_002,thermodynamics,nongoverning_distractor,2,0.5,0.5,1.0,-0.484375,4.186e4 J
TH_B_UM_003,thermodynamics,nongoverning_distractor,2,0.5,0.5,1.0,-0.1875,4.186e4 J
TH_B_UM_004,thermodynamics,nongoverning_distractor,4,1.0,0.75,0.5,0.234375,4.2e4 J
TH_B_UM_005,thermodynamics,nongoverning_distractor,1,0.25,1.0,,0.34375,4.2e4 J
TH_B_UM_006,thermodynamics,nongoverning_distractor,3,0.75,0.3333333333333333,0.6666666666666666,-0.0625,1e5 Pa
TH_B_UM_007,thermodynamics,nongoverning_distractor,3,0.75,1.0,0.0,-0.65625,1e5 Pa
TH_B_UM_008,thermodynamics,nongoverning_distractor,3,0.75,0.3333333333333333,0.6666666666666666,-1.296875,1e5 Pa
TH_B_UM_009,thermodynamics,nongoverning_distractor,3,0.75,1.0,0.0,-0.5625,0.01 m
TH_B_UM_010,thermodynamics,nongoverning_distractor,1,0.25,1.0,,-0.625,0.012 m
